run_id,algorithm,seed,run_index
tabu_search_run_001,tabu_search,2000,1
tabu_search_run_002,tabu_search,2001,2
tabu_search_run_003,tabu_search,2002,3
tabu_search_run_004,tabu_search,2003,4
tabu_search_run_005,tabu_search,2004,5
tabu_search_run_006,tabu_search,2005,6
tabu_search_run_007,tabu_search,2006,7
tabu_search_run_008,tabu_search,2007,8
tabu_search_run_009,tabu_search,2008,9
tabu_search_run_010,tabu_search,2009,10
tabu_search_run_011,tabu_search,2010,11
tabu_search_run_012,tabu_search,2011,12
tabu_search_run_013,tabu_search,2012,13
tabu_search_run_014,tabu_search,2013,14
tabu_search_run_015,tabu_search,2014,15
tabu_search_run_016,tabu_search,2015,16
tabu_search_run_017,tabu_search,2016,17
tabu_search_run_018,tabu_search,2017,18
tabu_search_run_019,tabu_search,2018,19
tabu_search_run_020,tabu_search,2019,20
tabu_search_run_021,tabu_search,2020,21
tabu_search_run_022,tabu_search,2021,22
tabu_search_run_023,tabu_search,2022,23
tabu_search_run_024,tabu_search,2023,24
tabu_search_run_025,tabu_search,2024,25
tabu_search_run_026,tabu_search,2025,26
tabu_search_run_027,tabu_search,2026,27
tabu_search_run_028,tabu_search,2027,28
tabu_search_run_029,tabu_search,2028,29
tabu_search_run_030,tabu_search,2029,30
