run_id,algorithm,seed,run_index
particle_swarm_run_001,particle_swarm,4000,1
particle_swarm_run_002,particle_swarm,4001,2
particle_swarm_run_003,particle_swarm,4002,3
particle_swarm_run_004,particle_swarm,4003,4
particle_swarm_run_005,particle_swarm,4004,5
particle_swarm_run_006,particle_swarm,4005,6
particle_swarm_run_007,particle_swarm,4006,7
particle_swarm_run_008,particle_swarm,4007,8
particle_swarm_run_009,particle_swarm,4008,9
particle_swarm_run_010,particle_swarm,4009,10
particle_swarm_run_011,particle_swarm,4010,11
particle_swarm_run_012,particle_swarm,4011,12
particle_swarm_run_013,particle_swarm,4012,13
particle_swarm_run_014,particle_swarm,4013,14
particle_swarm_run_015,particle_swarm,4014,15
particle_swarm_run_016,particle_swarm,4015,16
particle_swarm_run_017,particle_swarm,4016,17
particle_swarm_run_018,particle_swarm,4017,18
particle_swarm_run_019,particle_swarm,4018,19
particle_swarm_run_020,particle_swarm,4019,20
particle_swarm_run_021,particle_swarm,4020,21
particle_swarm_run_022,particle_swarm,4021,22
particle_swarm_run_023,particle_swarm,4022,23
particle_swarm_run_024,particle_swarm,4023,24
particle_swarm_run_025,particle_swarm,4024,25
particle_swarm_run_026,particle_swarm,4025,26
particle_swarm_run_027,particle_swarm,4026,27
particle_swarm_run_028,particle_swarm,4027,28
particle_swarm_run_029,particle_swarm,4028,29
particle_swarm_run_030,particle_swarm,4029,30
