run_id,algorithm,seed,run_index
tabu_search_run_001,tabu_search,1000,1
tabu_search_run_002,tabu_search,1001,2
tabu_search_run_003,tabu_search,1002,3
tabu_search_run_004,tabu_search,1003,4
tabu_search_run_005,tabu_search,1004,5
tabu_search_run_006,tabu_search,1005,6
tabu_search_run_007,tabu_search,1006,7
tabu_search_run_008,tabu_search,1007,8
tabu_search_run_009,tabu_search,1008,9
tabu_search_run_010,tabu_search,1009,10
tabu_search_run_011,tabu_search,1010,11
tabu_search_run_012,tabu_search,1011,12
tabu_search_run_013,tabu_search,1012,13
tabu_search_run_014,tabu_search,1013,14
tabu_search_run_015,tabu_search,1014,15
tabu_search_run_016,tabu_search,1015,16
tabu_search_run_017,tabu_search,1016,17
tabu_search_run_018,tabu_search,1017,18
tabu_search_run_019,tabu_search,1018,19
tabu_search_run_020,tabu_search,1019,20
tabu_search_run_021,tabu_search,1020,21
tabu_search_run_022,tabu_search,1021,22
tabu_search_run_023,tabu_search,1022,23
tabu_search_run_024,tabu_search,1023,24
tabu_search_run_025,tabu_search,1024,25
tabu_search_run_026,tabu_search,1025,26
tabu_search_run_027,tabu_search,1026,27
tabu_search_run_028,tabu_search,1027,28
tabu_search_run_029,tabu_search,1028,29
tabu_search_run_030,tabu_search,1029,30
